campaignId,campaignName,date,advertiserAdClicks,advertiserAdCost
17207660104,AT_Search_Brand,03/09/2022,3,0.05
17207660104,AT_Search_Brand,24/08/2022,3,0.47
17207660104,AT_Search_Brand,16/08/2022,3,0.17
17207660104,AT_Search_Brand,08/08/2022,3,2.75
17207660104,AT_Search_Brand,05/08/2022,3,0.46
17207660104,AT_Search_Brand,22/07/2022,3,5.13
17207660104,AT_Search_Brand,12/07/2022,3,2.16
17207660104,AT_Search_Brand,30/06/2022,3,0.76
17207660107,GER_Search_Brand,23/03/2024,2,0.4
17207660107,GER_Search_Brand,15/03/2024,2,0.51
17207660107,GER_Search_Brand,04/03/2024,2,1.61
17207660107,GER_Search_Brand,03/03/2024,2,1.16
17207660107,GER_Search_Brand,25/02/2024,2,1.87
17207660107,GER_Search_Brand,17/02/2024,2,0.48
17207660107,GER_Search_Brand,12/02/2024,2,2
17207660107,GER_Search_Brand,11/02/2024,2,0.6
17207660107,GER_Search_Brand,20/01/2024,2,0.17
17207660107,GER_Search_Brand,19/01/2024,2,0.53
17207660107,GER_Search_Brand,11/01/2024,2,0.58
17207660107,GER_Search_Brand,01/01/2024,2,1.32
17207660107,GER_Search_Brand,26/12/2023,2,0.99
17207660107,GER_Search_Brand,25/12/2023,2,0.2
17207660107,GER_Search_Brand,17/12/2023,2,0.18
17207660107,GER_Search_Brand,15/12/2023,2,0.51
17207660107,GER_Search_Brand,13/12/2023,2,0.74
17207660107,GER_Search_Brand,22/11/2023,2,0.7
17207660107,GER_Search_Brand,15/11/2023,2,0.75
17207660107,GER_Search_Brand,12/11/2023,2,1.24
17207660107,GER_Search_Brand,05/11/2023,2,0.94
17207660107,GER_Search_Brand,26/10/2023,2,0.36
17207660107,GER_Search_Brand,14/10/2023,2,0.15
17207660107,GER_Search_Brand,12/10/2023,2,0.37
17207660107,GER_Search_Brand,30/08/2023,2,1.36
17207660107,GER_Search_Brand,28/08/2023,2,0.62
17207660107,GER_Search_Brand,25/08/2023,2,0.17
17207660107,GER_Search_Brand,17/08/2023,2,1.23
17207660107,GER_Search_Brand,16/08/2023,2,0.25
17207660107,GER_Search_Brand,07/08/2023,2,1.14
17207660107,GER_Search_Brand,28/07/2023,2,1.54
17207660107,GER_Search_Brand,05/07/2023,2,0.66
17207660107,GER_Search_Brand,31/05/2023,2,10.18
17207660107,GER_Search_Brand,02/05/2023,2,3.33
17207660107,GER_Search_Brand,29/04/2023,2,0.2
17207660107,GER_Search_Brand,17/04/2023,2,0.09
17207660107,GER_Search_Brand,04/04/2023,2,0.02
17207660107,GER_Search_Brand,30/03/2023,2,0.09
17207660107,GER_Search_Brand,29/03/2023,2,1.54
17207660107,GER_Search_Brand,25/03/2023,2,0.02
17207660107,GER_Search_Brand,17/03/2023,2,0.16
17207660107,GER_Search_Brand,09/03/2023,2,0.02
17207660107,GER_Search_Brand,02/03/2023,2,0.31
17207660107,GER_Search_Brand,27/02/2023,2,0.08
17207660107,GER_Search_Brand,23/02/2023,2,0.09
17207660107,GER_Search_Brand,18/02/2023,2,0.43
17207660107,GER_Search_Brand,16/02/2023,2,0.37
17207660107,GER_Search_Brand,10/02/2023,2,0.02
17207660107,GER_Search_Brand,06/02/2023,2,0.09
17207660107,GER_Search_Brand,04/02/2023,2,0.21
17207660107,GER_Search_Brand,03/02/2023,2,0.12
17207660107,GER_Search_Brand,31/01/2023,2,5.17
17207660107,GER_Search_Brand,27/01/2023,2,1.96
17207660107,GER_Search_Brand,21/01/2023,2,0.19
17207660107,GER_Search_Brand,19/01/2023,2,0.02
17207660107,GER_Search_Brand,17/01/2023,2,0.08
17207660107,GER_Search_Brand,16/01/2023,2,1.39
17207660107,GER_Search_Brand,12/01/2023,2,1.51
17207660107,GER_Search_Brand,11/01/2023,2,0.13
17207660107,GER_Search_Brand,09/01/2023,2,0.09
17207660107,GER_Search_Brand,03/01/2023,2,0.12
17207660107,GER_Search_Brand,21/12/2022,2,0.61
17207660107,GER_Search_Brand,09/12/2022,2,0.36
17207660107,GER_Search_Brand,06/12/2022,2,1.01
17207660107,GER_Search_Brand,02/12/2022,2,0.41
17207660107,GER_Search_Brand,01/12/2022,2,0.3
17207660107,GER_Search_Brand,23/11/2022,2,2.14
17207660107,GER_Search_Brand,16/11/2022,2,0.38
17207660107,GER_Search_Brand,15/11/2022,2,1.47
17207660107,GER_Search_Brand,06/11/2022,2,0.14
17207660107,GER_Search_Brand,04/11/2022,2,0.43
17207660107,GER_Search_Brand,27/10/2022,2,0.51
17207660107,GER_Search_Brand,25/10/2022,2,0.02
17207660107,GER_Search_Brand,21/10/2022,2,0.06
17207660107,GER_Search_Brand,14/10/2022,2,0.09
17207660107,GER_Search_Brand,06/09/2022,2,2.97
17207660107,GER_Search_Brand,17/08/2022,2,0.33
17207660107,GER_Search_Brand,09/08/2022,2,1.74
17207660107,GER_Search_Brand,06/08/2022,2,0.02
17207660107,GER_Search_Brand,29/07/2022,2,0.88
17207660107,GER_Search_Brand,25/07/2022,2,0.03
17207660107,GER_Search_Brand,20/07/2022,2,0.63
17207660107,GER_Search_Brand,18/07/2022,2,2.08
17207660107,GER_Search_Brand,14/07/2022,2,0.72
17207660107,GER_Search_Brand,08/07/2022,2,0.02
17207660107,GER_Search_Brand,24/06/2022,2,0.04
17207660107,GER_Search_Brand,07/04/2024,3,0.13
17207660107,GER_Search_Brand,04/04/2024,3,0.05
17207660107,GER_Search_Brand,12/03/2024,3,1.08
17207660107,GER_Search_Brand,08/03/2024,3,1.22
17207660107,GER_Search_Brand,07/03/2024,3,2.36
17207660107,GER_Search_Brand,28/02/2024,3,1.03
17207660107,GER_Search_Brand,23/02/2024,3,0.62
17207660107,GER_Search_Brand,13/02/2024,3,3.14
17207660107,GER_Search_Brand,04/02/2024,3,0.19
17207660107,GER_Search_Brand,24/01/2024,3,0.78
17207660107,GER_Search_Brand,15/01/2024,3,1.22
17207660107,GER_Search_Brand,12/01/2024,3,0.83
17207660107,GER_Search_Brand,08/01/2024,3,1.89
17207660107,GER_Search_Brand,02/01/2024,3,1.41
17207660107,GER_Search_Brand,28/12/2023,3,0.3
17207660107,GER_Search_Brand,22/12/2023,3,1.58
17207660107,GER_Search_Brand,05/12/2023,3,1.53
17207660107,GER_Search_Brand,01/12/2023,3,0.3
17207660107,GER_Search_Brand,16/11/2023,3,0.09
17207660107,GER_Search_Brand,03/11/2023,3,0.21
17207660107,GER_Search_Brand,30/10/2023,3,0.72
17207660107,GER_Search_Brand,22/10/2023,3,1.42
17207660107,GER_Search_Brand,20/10/2023,3,0.91
17207660107,GER_Search_Brand,18/10/2023,3,0.63
17207660107,GER_Search_Brand,17/10/2023,3,1.04
17207660107,GER_Search_Brand,11/10/2023,3,0.13
17207660107,GER_Search_Brand,05/09/2023,3,1.65
17207660107,GER_Search_Brand,29/08/2023,3,0.53
17207660107,GER_Search_Brand,24/08/2023,3,1.49
17207660107,GER_Search_Brand,11/08/2023,3,2.16
17207660107,GER_Search_Brand,31/07/2023,3,2.27
17207660107,GER_Search_Brand,14/07/2023,3,1.53
17207660107,GER_Search_Brand,02/06/2023,3,10.41
17207660107,GER_Search_Brand,01/06/2023,3,28.84
17207660107,GER_Search_Brand,09/05/2023,3,0.24
17207660107,GER_Search_Brand,24/04/2023,3,0.78
17207660107,GER_Search_Brand,20/04/2023,3,0.04
17207660107,GER_Search_Brand,18/04/2023,3,0.74
17207660107,GER_Search_Brand,16/04/2023,3,7.12
17207660107,GER_Search_Brand,02/04/2023,3,0.18
17207660107,GER_Search_Brand,31/03/2023,3,0.75
17207660107,GER_Search_Brand,27/03/2023,3,3.23
17207660107,GER_Search_Brand,01/03/2023,3,0.03
17207660107,GER_Search_Brand,28/02/2023,3,1.77
17207660107,GER_Search_Brand,21/02/2023,3,0.21
17207660107,GER_Search_Brand,15/02/2023,3,0.03
17207660107,GER_Search_Brand,11/02/2023,3,5.94
17207660107,GER_Search_Brand,09/02/2023,3,0.12
17207660107,GER_Search_Brand,18/01/2023,3,0.23
17207660107,GER_Search_Brand,05/01/2023,3,0.25
17207660107,GER_Search_Brand,19/12/2022,3,0.17
17207660107,GER_Search_Brand,13/12/2022,3,1.71
17207660107,GER_Search_Brand,12/12/2022,3,0.74
17207660107,GER_Search_Brand,05/12/2022,3,0.54
17207660107,GER_Search_Brand,28/11/2022,3,0.21
17207660107,GER_Search_Brand,22/11/2022,3,1.4
17207660107,GER_Search_Brand,18/11/2022,3,0.5
17207660107,GER_Search_Brand,08/11/2022,3,0.67
17207660107,GER_Search_Brand,26/10/2022,3,0.29
17207660107,GER_Search_Brand,19/10/2022,3,0.26
17207660107,GER_Search_Brand,13/10/2022,3,2.64
17207660107,GER_Search_Brand,07/10/2022,3,0.03
17207660107,GER_Search_Brand,14/09/2022,3,0.1
17207660107,GER_Search_Brand,07/09/2022,3,1.77
17207660107,GER_Search_Brand,05/09/2022,3,1.38
17207660107,GER_Search_Brand,01/09/2022,3,2.21
17207660107,GER_Search_Brand,30/08/2022,3,0.17
17207660107,GER_Search_Brand,18/08/2022,3,0.17
17207660107,GER_Search_Brand,03/08/2022,3,0.46
17207660107,GER_Search_Brand,23/07/2022,3,0.03
17207660107,GER_Search_Brand,21/07/2022,3,0.28
17207660107,GER_Search_Brand,15/07/2022,3,0.41
17207660107,GER_Search_Brand,13/07/2022,3,1.99
17207660107,GER_Search_Brand,11/07/2022,3,1.3
17207660107,GER_Search_Brand,07/07/2022,3,2.87
17207660107,GER_Search_Brand,01/07/2022,3,0.49
17207660107,GER_Search_Brand,30/06/2022,3,0.03
17207660107,GER_Search_Brand,27/06/2022,3,0.26
17207660107,GER_Search_Brand,26/03/2024,4,1.39
17207660107,GER_Search_Brand,21/03/2024,4,2.5
17207660107,GER_Search_Brand,20/03/2024,4,0.35
17207660107,GER_Search_Brand,11/03/2024,4,2.3
17207660107,GER_Search_Brand,05/03/2024,4,2.32
17207660107,GER_Search_Brand,01/03/2024,4,2.29
17207660107,GER_Search_Brand,19/02/2024,4,1.12
17207660107,GER_Search_Brand,14/02/2024,4,3.24
17207660107,GER_Search_Brand,09/02/2024,4,1.19
17207660107,GER_Search_Brand,08/02/2024,4,1.6
17207660107,GER_Search_Brand,28/01/2024,4,0.38
17207660107,GER_Search_Brand,16/01/2024,4,1.63
17207660107,GER_Search_Brand,29/12/2023,4,1.45
17207660107,GER_Search_Brand,21/12/2023,4,1.68
17207660107,GER_Search_Brand,20/12/2023,4,0.31
17207660107,GER_Search_Brand,16/12/2023,4,1.57
17207660107,GER_Search_Brand,14/12/2023,4,0.76
17207660107,GER_Search_Brand,28/11/2023,4,0.97
17207660107,GER_Search_Brand,24/11/2023,4,0.67
17207660107,GER_Search_Brand,21/11/2023,4,2.13
17207660107,GER_Search_Brand,20/11/2023,4,0.53
17207660107,GER_Search_Brand,10/11/2023,4,0.79
17207660107,GER_Search_Brand,31/10/2023,4,1.2
17207660107,GER_Search_Brand,10/10/2023,4,1.07
17207660107,GER_Search_Brand,24/09/2023,4,1.81
17207660107,GER_Search_Brand,06/09/2023,4,2.16
17207660107,GER_Search_Brand,21/08/2023,4,1.4
17207660107,GER_Search_Brand,18/08/2023,4,1.23
17207660107,GER_Search_Brand,14/08/2023,4,2.19
17207660107,GER_Search_Brand,10/08/2023,4,1.28
17207660107,GER_Search_Brand,25/05/2023,4,17.72
17207660107,GER_Search_Brand,17/05/2023,4,69.98
17207660107,GER_Search_Brand,08/05/2023,4,0.99
17207660107,GER_Search_Brand,12/04/2023,4,0.08
17207660107,GER_Search_Brand,11/04/2023,4,0.71
17207660107,GER_Search_Brand,28/03/2023,4,0.12
17207660107,GER_Search_Brand,23/03/2023,4,0.04
17207660107,GER_Search_Brand,15/03/2023,4,1.04
17207660107,GER_Search_Brand,03/03/2023,4,4.73
17207660107,GER_Search_Brand,14/02/2023,4,1.22
17207660107,GER_Search_Brand,12/02/2023,4,1.63
17207660107,GER_Search_Brand,02/02/2023,4,4.48
17207660107,GER_Search_Brand,26/01/2023,4,6.35
17207660107,GER_Search_Brand,24/01/2023,4,0.76
17207660107,GER_Search_Brand,20/12/2022,4,3.3
17207660107,GER_Search_Brand,24/11/2022,4,0.04
17207660107,GER_Search_Brand,09/11/2022,4,2.63
17207660107,GER_Search_Brand,12/10/2022,4,0.77
17207660107,GER_Search_Brand,11/10/2022,4,0.09
17207660107,GER_Search_Brand,10/10/2022,4,1.13
17207660107,GER_Search_Brand,08/09/2022,4,3.91
17207660107,GER_Search_Brand,25/08/2022,4,0.25
17207660107,GER_Search_Brand,05/08/2022,4,0.76
17207660107,GER_Search_Brand,28/07/2022,4,8.39
17207660107,GER_Search_Brand,29/06/2022,4,1.04
17207660107,GER_Search_Brand,28/03/2024,5,2.44
17207660107,GER_Search_Brand,25/03/2024,5,1.33
17207660107,GER_Search_Brand,19/03/2024,5,0.2
17207660107,GER_Search_Brand,06/03/2024,5,1.68
17207660107,GER_Search_Brand,20/02/2024,5,2.39
17207660107,GER_Search_Brand,17/01/2024,5,1.22
17207660107,GER_Search_Brand,08/12/2023,5,0.39
17207660107,GER_Search_Brand,07/12/2023,5,0.84
17207660107,GER_Search_Brand,27/11/2023,5,0.85
17207660107,GER_Search_Brand,15/09/2023,5,1.14
17207660107,GER_Search_Brand,07/06/2023,5,36.3
17207660107,GER_Search_Brand,05/06/2023,5,59.65
17207660107,GER_Search_Brand,04/06/2023,5,38.18
17207660107,GER_Search_Brand,05/05/2023,5,2.39
17207660107,GER_Search_Brand,04/05/2023,5,0.23
17207660107,GER_Search_Brand,03/05/2023,5,1.14
17207660107,GER_Search_Brand,13/04/2023,5,1.79
17207660107,GER_Search_Brand,03/04/2023,5,0.86
17207660107,GER_Search_Brand,22/03/2023,5,0.48
17207660107,GER_Search_Brand,14/03/2023,5,1.4
17207660107,GER_Search_Brand,06/03/2023,5,3.13
17207660107,GER_Search_Brand,01/02/2023,5,3.66
17207660107,GER_Search_Brand,30/01/2023,5,0.36
17207660107,GER_Search_Brand,04/01/2023,5,1.19
17207660107,GER_Search_Brand,02/01/2023,5,5.29
17207660107,GER_Search_Brand,21/11/2022,5,0.75
17207660107,GER_Search_Brand,17/11/2022,5,0.25
17207660107,GER_Search_Brand,14/11/2022,5,2.04
17207660107,GER_Search_Brand,11/11/2022,5,0.4
17207660107,GER_Search_Brand,07/11/2022,5,2.01
17207660107,GER_Search_Brand,15/09/2022,5,0.24
17207660107,GER_Search_Brand,11/08/2022,5,3.62
17207660107,GER_Search_Brand,12/07/2022,5,1.19
17207660107,GER_Search_Brand,05/07/2022,5,0.74
17207660107,GER_Search_Brand,27/03/2024,6,0.64
17207660107,GER_Search_Brand,29/02/2024,6,4.82
17207660107,GER_Search_Brand,26/02/2024,6,3.95
17207660107,GER_Search_Brand,21/02/2024,6,3.12
17207660107,GER_Search_Brand,15/02/2024,6,2.94
17207660107,GER_Search_Brand,02/02/2024,6,0.91
17207660107,GER_Search_Brand,05/01/2024,6,1.07
17207660107,GER_Search_Brand,19/12/2023,6,2.93
17207660107,GER_Search_Brand,30/11/2023,6,1.9
17207660107,GER_Search_Brand,29/11/2023,6,2.56
17207660107,GER_Search_Brand,14/11/2023,6,2.13
17207660107,GER_Search_Brand,13/11/2023,6,0.5
17207660107,GER_Search_Brand,08/11/2023,6,1.88
17207660107,GER_Search_Brand,27/10/2023,6,1.69
17207660107,GER_Search_Brand,25/10/2023,6,2.25
17207660107,GER_Search_Brand,23/10/2023,6,2.42
17207660107,GER_Search_Brand,19/10/2023,6,0.77
17207660107,GER_Search_Brand,02/10/2023,6,3.45
17207660107,GER_Search_Brand,18/09/2023,6,1.75
17207660107,GER_Search_Brand,25/04/2023,6,6.43
17207660107,GER_Search_Brand,14/04/2023,6,6.95
17207660107,GER_Search_Brand,21/03/2023,6,0.58
17207660107,GER_Search_Brand,07/03/2023,6,1.16
17207660107,GER_Search_Brand,13/02/2023,6,3.95
17207660107,GER_Search_Brand,07/02/2023,6,11.42
17207660107,GER_Search_Brand,13/01/2023,6,4.02
17207660107,GER_Search_Brand,14/12/2022,6,4.47
17207660107,GER_Search_Brand,20/10/2022,6,1.05
17207660107,GER_Search_Brand,29/09/2022,6,0.06
17207660107,GER_Search_Brand,20/09/2022,6,1.78
17207660107,GER_Search_Brand,16/09/2022,6,0.26
17207660107,GER_Search_Brand,13/09/2022,6,4.71
17207660107,GER_Search_Brand,23/08/2022,6,3.67
17207660107,GER_Search_Brand,03/04/2024,7,1.91
17207660107,GER_Search_Brand,13/03/2024,7,4.98
17207660107,GER_Search_Brand,27/01/2024,7,1.75
17207660107,GER_Search_Brand,25/01/2024,7,1.66
17207660107,GER_Search_Brand,23/01/2024,7,0.67
17207660107,GER_Search_Brand,09/01/2024,7,2
17207660107,GER_Search_Brand,11/12/2023,7,2.09
17207660107,GER_Search_Brand,09/11/2023,7,2.43
17207660107,GER_Search_Brand,06/11/2023,7,3.52
17207660107,GER_Search_Brand,02/11/2023,7,2.33
17207660107,GER_Search_Brand,04/10/2023,7,2.65
17207660107,GER_Search_Brand,23/09/2023,7,2.99
17207660107,GER_Search_Brand,21/09/2023,7,1.88
17207660107,GER_Search_Brand,13/09/2023,7,3.94
17207660107,GER_Search_Brand,08/09/2023,7,5.79
17207660107,GER_Search_Brand,09/08/2023,7,2.87
17207660107,GER_Search_Brand,06/06/2023,7,59.07
17207660107,GER_Search_Brand,24/05/2023,7,22.85
17207660107,GER_Search_Brand,16/05/2023,7,65.87
17207660107,GER_Search_Brand,11/05/2023,7,11.83
17207660107,GER_Search_Brand,10/05/2023,7,6.26
17207660107,GER_Search_Brand,21/04/2023,7,7.5
17207660107,GER_Search_Brand,08/02/2023,7,2.83
17207660107,GER_Search_Brand,25/11/2022,7,0.2
17207660107,GER_Search_Brand,06/10/2022,7,0.37
17207660107,GER_Search_Brand,31/08/2022,7,2.3
17207660107,GER_Search_Brand,05/04/2024,8,3.82
17207660107,GER_Search_Brand,02/04/2024,8,4.44
