pk_order,fk_seller,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b9N000000AQkxQAG,0019N000002h5CoQAI,2022-09-22,2022-09-22,Mixed,1382.4000,128.0000,128.0000
a0b9N000000AZg3QAG,0019N000002h3kTQAQ,2022-09-27,2022-09-27,Mixed,5304.0000,552.5000,368.5000
a0b9N000000BPxAQAW,0019N000002h5CoQAI,2022-10-03,2022-09-22,Mixed,3412.8000,316.0000,316.0000
a0b9N000000BYn7QAG,0019N000002ofsPQAQ,2022-10-06,2022-10-06,Mixed,23162.8500,850.2500,850.2500
a0b9N000000BxlFQAS,0010900000RE0J7AAL,2022-10-19,2022-10-19,Mixed,5114.5000,624.5000,374.5000
a0b9N000000C1W1QAK,00109000009gtQjAAI,2022-10-20,2022-10-20,Mixed,11274.9100,676.3100,-212.4400
a0b9N000000H1xLQAS,0019N000003EfSpQAK,2022-11-10,2022-11-10,Mixed,3484.8000,338.8000,338.8000
a0b9N000000HGheQAG,0019N000003IDg0QAG,2022-11-15,2022-11-15,Mixed,16704.0000,417.6000,417.6000
a0b9N000000HabPQAS,0019N000003IK6KQAW,2022-11-23,2022-11-23,Mixed,713.3500,324.2500,156.2500
a0b9N000000HaduQAC,0019N000003Iu1WQAS,2022-11-23,2022-11-23,Mixed,422.8000,75.5000,75.5000
a0b9N000000HkWdQAK,0019N000003ImYfQAK,2022-11-28,2022-11-28,Mixed,15540.2000,2012.4000,-185.1000
a0b9N000000HlZfQAK,0010900001Fj9SGAAZ,2022-11-28,2022-11-28,Mixed,1701.5000,219.0000,219.0000
a0b9N000000HnSGQA0,0019N000003Q5SlQAK,2022-11-29,2022-11-29,Mixed,6169.7800,437.5000,437.5000
a0b9N000000HsdNQAS,0019N000003PL8jQAG,2022-12-01,2022-12-01,Mixed,4142.9500,422.7500,422.7500
a0b9N000000I91hQAC,0019N000003FDWMQA4,2022-12-08,2022-12-08,Mixed,1755.6000,492.1000,194.6000
