pk_order,fk_seller,fk_opportunity,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b9N000000PIv3QAG,00109000009gqrFAAQ,"",2023-05-12,2023-01-13,Acquisition,"","",""
a0b9N000000PKnRQAW,00109000009gqrFAAQ,"",2023-05-15,2023-01-13,Acquisition,12334.8000,5327.2300,5327.2300
a0b9N000000PM6xQAG,00109000009gnWVAAY,0069N000002o2twQAA,2023-05-16,2023-01-02,Mixed,9126.4500,1702.8800,202.8800
a0b9N000000PSJCQA4,0019N000003QH8JQAW,0069N000002oto2QAA,2023-05-19,2023-03-01,Mixed,53798.2300,798.9800,473.9800
a0b9N000000PZCUQA4,00109000009h59NAAQ,0069N000002bnoeQAA,2023-05-24,2023-01-04,Acquisition,9724.8000,1377.6800,1027.6800
a0b9N000000PkUiQAK,00109000017SucwAAC,0069N000002mPwnQAE,2023-05-31,2023-01-17,Mixed,53139.9000,1882.9900,1302.9900
a0b9N000000PlgUQAS,00109000009gnWVAAY,0069N000002o2twQAA,2023-05-31,2023-01-02,Mixed,9225.9000,1724.5800,224.5800
a0b9N000000PmtzQAC,0019N00000481gkQAA,0069N000002quX9QAI,2023-06-01,2023-03-02,Mixed,190649.3100,1034.3800,1034.3800
a0b9N000000PxzYQAS,00109000019J4cEAAS,0069N000002pUsmQAE,2023-06-07,2023-01-09,Liquidation,90607.6700,2606.1700,606.1700
a0b9N000000QKK5QAO,00109000009gqrFAAQ,"",2023-06-16,2023-01-13,Acquisition,12765.0000,5871.1200,5871.1200
a0b9N000000QKTvQAO,00109000009gqrFAAQ,"",2023-06-16,2023-01-13,Acquisition,"","",""
a0b9N000000Qas2QAC,00109000009gnWVAAY,0069N000002tXT6QAM,2023-06-21,2023-01-02,Mixed,8743.1000,1760.3000,260.3000
a0b9N000000QasfQAC,00109000009gnWVAAY,0069N000002tXT6QAM,2023-06-21,2023-01-02,Mixed,8312.2000,1699.2400,199.2400
a0b9N000000QeXkQAK,00109000009gnyVAAQ,0069N000002uUhjQAE,2023-06-22,2023-01-24,Mixed,5144.0000,1350.3000,700.3000
a0b9N000000QfS2QAK,00109000019J4cEAAS,0069N000002u9K0QAI,2023-06-22,2023-01-09,Liquidation,184496.4900,5212.2500,4470.7900
a0b9N000000R5e4QAC,0010900000IKLHZAA5,0069N000002vadhQAA,2023-07-03,2023-07-03,Mixed,22313.0600,7843.0600,6583.0600
a0b9N000000RITcQAO,0010900001TGrjAAAT,"",2023-07-10,2023-07-10,Mixed,967574.4000,24554.4000,24554.4000
a0b9N000000RO02QAG,00109000009gqrFAAQ,"",2023-07-13,2023-01-13,Acquisition,12777.6000,6822.4600,6822.4600
a0b9N000000RVNEQA4,0010900000BUsXkAAL,0069N000002mlupQAA,2023-07-18,2023-07-17,Mixed,9180.9000,5724.9000,4479.9000
a0b9N000000RYAjQAO,0010900000UxhwaAAB,0069N000002yTKbQAM,2023-07-19,2023-01-20,Mixed,10444.0200,1273.6000,923.6000
